Bandera Gray		Buffalo Berea		Gray Berea		
PV	Rate_Pulses, 1/s	PV	Rate_Pulses, 1/s	PV	Rate_Pulses, 1/s	
3.19E+01	1.13E+04	2.36E+01	1.21E+04	5.42E+01	2.80E+04	
3.21E+01	1.13E+04	2.39E+01	1.18E+04	5.46E+01	2.82E+04	
3.24E+01	1.13E+04	2.41E+01	1.17E+04	5.50E+01	2.83E+04	
3.27E+01	1.12E+04	2.43E+01	1.15E+04	5.54E+01	2.83E+04	
3.30E+01	1.11E+04	2.46E+01	1.13E+04	5.58E+01	2.83E+04	
3.33E+01	1.12E+04	2.48E+01	1.11E+04	5.62E+01	2.82E+04	
3.36E+01	1.11E+04	2.51E+01	1.10E+04	5.66E+01	2.84E+04	
3.39E+01	1.11E+04	2.53E+01	1.08E+04	5.69E+01	2.83E+04	
3.42E+01	1.11E+04	2.56E+01	1.07E+04	5.73E+01	2.83E+04	
3.45E+01	1.12E+04	2.58E+01	1.04E+04	5.77E+01	2.82E+04	
3.48E+01	1.12E+04	2.60E+01	1.03E+04	5.81E+01	2.81E+04	
3.51E+01	1.11E+04	2.63E+01	1.01E+04	5.85E+01	2.80E+04	
3.54E+01	1.12E+04	2.65E+01	9.95E+03	5.89E+01	2.80E+04	
3.57E+01	1.12E+04	2.68E+01	9.81E+03	5.93E+01	2.81E+04	
3.60E+01	1.11E+04	2.70E+01	9.68E+03	5.97E+01	2.80E+04	
3.63E+01	1.11E+04	2.73E+01	9.57E+03	6.01E+01	2.79E+04	
3.66E+01	1.10E+04	2.75E+01	9.50E+03	6.05E+01	2.78E+04	
3.68E+01	1.10E+04	2.77E+01	9.37E+03	6.09E+01	2.77E+04	
3.71E+01	1.10E+04	2.80E+01	9.20E+03	6.13E+01	2.74E+04	
3.74E+01	1.10E+04	2.82E+01	9.08E+03	6.17E+01	2.76E+04	
3.77E+01	1.10E+04	2.85E+01	8.96E+03	6.21E+01	2.76E+04	
3.80E+01	1.09E+04	2.87E+01	8.90E+03	6.24E+01	2.76E+04	
